url,schema_present,schema_types,source
https://www.welzin.ai/why-welzin,False,,sitemap
https://www.welzin.ai/solutions,False,,sitemap
https://www.welzin.ai/contact,False,,sitemap
https://www.welzin.ai/refund-policy,False,,sitemap
https://www.welzin.ai,True,WebSite,sitemap
https://www.welzin.ai/llm,False,,sitemap
https://www.welzin.ai/ragpipeline,False,,sitemap
https://www.welzin.ai/about,False,,sitemap
https://www.welzin.ai/credzin,False,,sitemap
https://www.welzin.ai/blog-1,False,,sitemap
https://www.welzin.ai/whitepapers,False,,sitemap
https://www.welzin.ai/case-studies,False,,sitemap
https://www.welzin.ai/faqs,False,,sitemap
https://www.welzin.ai/services,False,,sitemap
https://www.welzin.ai/inferencingllm,False,,sitemap
https://www.welzin.ai/terms-conditions,False,,sitemap
https://www.welzin.ai/industries,False,,sitemap
https://www.welzin.ai/lawzin,False,,sitemap
https://www.welzin.ai/cnai,False,,sitemap
https://www.welzin.ai/webinars,False,,sitemap
